__v,_id,brand,devicetype
0,6045c926a949c739d34f38ae,CIS BOX,DVD Player
0,6045c926a949c739d34f38b0,CIS BOX,LCD Projector
0,6045c926a949c739d34f38b1,CIS BOX,Plasma
0,6045c926a949c739d34f38b2,CIS BOX,Receiver
0,6045c926a949c739d34f38b3,CIS BOX,TV
0,6045c926a949c739d34f38b4,CIS BOX,VCR
0,6045c926a949c739d34f38b5,Cables to Go,VGA Switcher
0,6045c926a949c739d34f38b6,Calrad,Video Switcher
0,6045c926a949c739d34f38b7,Calypso,Amplifier
0,6045c926a949c739d34f38b8,Calypso,Control System
0,6045c926a949c739d34f38b9,Cambridge Audio,Amp/CD
0,6045c926a949c739d34f38bb,Cambridge Audio,Receiver
0,6045c926a949c739d34f38ba,Cambridge Audio,DVD Player
0,6045c926a949c739d34f38bc,Camera,Camera Multi Plex
0,6045c927a949c739d34f38bd,Canalsat,Satellite
0,6045c927a949c739d34f38be,Canon,Video Projector
0,6045c927a949c739d34f38c0,Carver,CD Player
0,6045c927a949c739d34f38c1,Carver,Cassette Tape
0,6045c927a949c739d34f38c2,Carver,Laser Disc
0,6045c927a949c739d34f38bf,Carver,Amplifier
0,6045c927a949c739d34f38c5,Carver,Tuner
0,6045c927a949c739d34f38c4,Carver,Receiver
0,6045c927a949c739d34f38c3,Carver,Pre-Amplifier
0,6045c927a949c739d34f38c7,Cary Audio Design,DVD Player
0,6045c927a949c739d34f38c8,Cary Audio Design,Receiver
0,6045c927a949c739d34f38c6,Cary Audio Design,CD Player
0,6045c927a949c739d34f38c9,Celadon,IR to RS232
0,6045c927a949c739d34f38ca,Channel Master,Satellite
0,6045c927a949c739d34f38cb,Channel Plus,Video Switcher
0,6045c927a949c739d34f38cc,Chief Manufacturing,Motorized Lift
0,6045c927a949c739d34f38cd,Cinemateq,DVD Player
0,6045c927a949c739d34f38ce,Cinemateq,Video Scaler
0,6045c927a949c739d34f38cf,Cisco,DVR
0,6045c928a949c739d34f38d0,Citation,Surround Processor
0,6045c928a949c739d34f38d1,Classe Audio,Amplifier
0,6045c928a949c739d34f38d3,Classe Audio,CD/DVD
0,6045c928a949c739d34f38d5,Classe Audio,DVD Player
0,6045c928a949c739d34f38d4,Classe Audio,CRCD
0,6045c928a949c739d34f38d2,Classe Audio,CD Player
0,6045c928a949c739d34f38d6,Classe Audio,Integrated Amplifier
0,6045c928a949c739d34f38d7,Classe Audio,Pre-Amplifier
0,6045c928a949c739d34f38d8,Classe Audio,SACD
0,6045c928a949c739d34f38d9,Classe Audio,Surround Processor
0,6045c928a949c739d34f38da,Classe Audio,Surround Sound
0,6045c928a949c739d34f38db,Classe Audio,Tuner
0,6045c928a949c739d34f38dd,Coby,TV
0,6045c928a949c739d34f38dc,Coby,DVD Player
0,6045c928a949c739d34f38de,Colorado Vnet,Music Server
0,6045c928a949c739d34f38df,Comcast,Cable Box
0,6045c928a949c739d34f38e0,Comcast,Digital Cable
0,6045c928a949c739d34f38e1,Comcast,HD Cable with DVR
0,6045c928a949c739d34f38e2,Cool Sat,Satellite
0,6045c928a949c739d34f38e3,Copland,CD Player
0,6045c928a949c739d34f38e4,Corvo,Relaybox
0,6045c928a949c739d34f38e5,Cox,Digital Cable
0,6045c928a949c739d34f38e6,Creek,Line/Volume Control
